1	1
1	17
2	56
3	11
3	82
3	94
4	26
4	70
4	76
5	1
5	46
5	86
6	33
6	55
6	67
7	3
7	45
7	58
8	8
8	36
8	52
8	77
9	8
9	53
9	70
9	99
10	18
10	66
10	91
11	68
12	60
12	61
12	66
12	81
12	89
13	45
13	52
13	81
13	82
13	95
14	38
14	58
15	8
15	12
15	34
15	69
16	31
16	38
16	75
16	88
16	92
17	8
17	11
17	12
17	33
17	53
17	63
17	89
18	34
18	79
18	90
19	7
19	20
19	40
19	85
20	42
20	78
20	80
21	55
21	73
21	79
22	5
22	23
22	49
22	69
22	82
23	1
23	16
23	18
23	58
24	25
24	45
25	12
25	20
25	35
25	40
26	2
26	53
26	67
26	71
27	4
27	6
27	23
27	49
28	11
28	18
28	31
28	58
29	6
29	56
29	71
29	89
30	6
30	43
30	55
30	75
30	79
30	96
31	9
31	11
31	18
31	62
32	18
32	31
32	33
32	52
32	71
32	87
33	67
33	69
34	20
34	79
34	99
35	68
35	74
35	99
36	38
36	57
36	63
36	87
37	27
37	45
38	30
38	47
38	54
38	86
38	92
38	94
39	1
40	19
40	25
40	90
41	14
42	1
42	23
42	52
43	60
43	85
43	96
44	26
44	34
44	61
45	42
45	94
45	98
46	19
46	36
46	89
47	21
47	29
47	40
47	41
47	80
47	85
48	13
48	47
48	77
48	83
49	19
49	63
49	91
49	92
49	96
49	98
50	31
50	63
50	68
50	81
50	82
51	34
51	95
52	1
52	9
52	32
52	40
52	57
52	88
53	72
54	2
54	5
54	35
54	53
55	77
56	63
57	87
58	7
58	14
58	37
58	77
58	80
59	37
60	25
60	44
60	48
60	56
60	75
61	2
61	9
61	28
61	32
61	38
61	39
61	66
61	69
61	70
61	98
62	20
62	31
62	53
62	85
63	59
63	60
63	77
64	6
64	39
64	60
64	67
64	75
64	83
64	100
65	36
65	53
65	56
66	6
66	94
67	24
67	41
67	60
67	65
68	11
69	69
70	50
70	52
70	66
70	87
70	90
70	91
71	15
71	32
71	47
71	51
71	58
71	66
72	42
72	72
73	10
73	36
73	41
73	83
73	98
74	12
74	22
74	70
74	83
75	71
76	8
76	25
76	82
77	15
77	46
77	54
77	61
78	29
78	64
79	15
79	83
79	90
80	44
80	75
80	92
81	8
81	59
81	100
82	5
82	32
82	34
82	42
82	84
83	19
83	60
83	91
84	24
84	67
84	70
84	85
84	92
84	93
85	2
85	35
85	71
85	82
85	89
85	91
86	48
86	64
86	72
87	40
87	47
88	26
88	59
88	85
89	3
89	21
89	54
89	56
89	88
89	98
90	88
90	92
90	94
91	25
91	39
91	42
91	62
91	69
91	81
92	26
92	46
92	83
93	8
94	66
94	74
95	28
95	37
95	44
95	57
95	70
95	91
96	20
96	39
96	97
97	8
98	2
98	18
98	52
98	80
99	40
99	67
100	44
100	45
